epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
17,2020-04-24,40,CE,,23,state,5121,56.07705,419,293,22,0.0572,9132078,False,False
17,2020-04-24,49,DF,,53,state,1012,33.56252,44,26,0,0.0257,3015268,False,False
17,2020-04-24,51,ES,,32,state,1665,41.43182,212,47,4,0.0282,4018650,False,False
17,2020-04-24,44,GO,,52,state,486,6.9247,33,24,1,0.0494,7018354,False,False
17,2020-04-24,36,MA,,21,state,2105,29.75189,154,100,12,0.0475,7075181,False,False
17,2020-04-24,48,MG,,31,state,1419,6.70326,111,54,3,0.0381,21168791,False,False
17,2020-04-24,42,MS,,50,state,213,7.66467,27,7,0,0.0329,2778986,False,False
17,2020-04-24,36,MT,,51,state,241,6.91641,21,8,1,0.0332,3484466,False,False
17,2020-04-24,38,PA,,15,state,1579,18.35435,312,86,33,0.0545,8602865,False,False
17,2020-04-24,44,PB,,25,state,447,11.12459,61,46,2,0.1029,4018127,False,False
17,2020-04-24,44,PE,,26,state,3999,41.84336,395,352,40,0.088,9557071,False,False
17,2020-04-24,37,PI,,22,state,297,9.07361,41,17,1,0.0572,3273227,False,False
17,2020-04-24,44,PR,,41,state,1133,9.90908,37,67,5,0.0591,11433957,False,False
17,2020-04-24,51,RJ,,33,state,6282,36.38587,110,570,40,0.0907,17264943,False,False
17,2020-04-24,44,RN,,24,state,781,22.27068,27,40,2,0.0512,3506853,False,False
17,2020-04-24,36,RO,,11,state,290,16.31757,40,6,1,0.0207,1777225,False,False
17,2020-04-24,35,RR,,14,state,345,56.95315,41,3,0,0.0087,605761,False,False
17,2020-04-24,46,RS,,43,state,1096,9.63327,57,34,5,0.031,11377239,False,False
17,2020-04-24,44,SC,,42,state,1209,16.87419,39,42,0,0.0347,7164788,False,False
17,2020-04-24,42,SE,,28,state,145,6.30792,10,8,0,0.0552,2298696,False,False
17,2020-04-24,60,SP,,35,state,17826,38.82049,1086,1512,167,0.0848,45919049,False,False
